ticker,sector,last,chg_%,z,vol_x,wk_%,vs_hi_%,rsi
D,Utilities,69.22,0.68,0.42,0.43,-1.98,-3.4,47.1
DAL,Industrials,92.77,1.29,0.5,0.75,3.8,-0.7,63.0
DASH,Consumer Discretionary,202.37,0.93,0.29,1.08,3.5,0.0,63.8
DD,Materials,142.93,1.17,0.64,1.37,1.53,-6.8,59.2
DDOG,Information Technology,288.15,5.32,1.03,1.15,14.86,0.0,70.5
DE,Industrials,617.37,2.03,0.96,0.66,-3.51,-6.3,55.0
DECK,Consumer Discretionary,99.87,0.37,0.14,0.77,-3.9,-17.4,45.5
DELL,Information Technology,467.27,8.92,1.34,1.12,19.17,0.0,60.9
DG,Consumer Staples,127.26,-0.36,-0.14,0.6,1.02,-17.7,60.1
DGX,Health Care,233.72,0.76,0.44,0.58,-0.94,-0.9,71.4
DHI,Consumer Discretionary,150.37,2.53,1.12,0.54,-0.52,-10.1,51.7
DHR,Health Care,194.78,-1.38,-0.55,0.74,-2.15,-11.1,51.7
DIS,Communication Services,98.18,0.04,0.03,1.5,-0.72,-10.0,52.3
DLR,Real Estate,193.89,1.4,0.61,0.75,0.37,-4.3,58.6
DLTR,Consumer Staples,130.71,1.05,0.31,1.08,3.12,-2.8,62.6
DOC,Real Estate,21.62,-0.09,-0.06,1.22,-5.26,-5.3,48.7
DOGE-USD,Crypto,0.07,0.39,0.17,0.73,-0.19,-38.9,43.6
DOT-USD,Crypto,0.86,4.83,1.78,1.32,12.38,-48.3,58.7
DOV,Industrials,209.93,2.05,1.08,0.41,3.37,-9.6,49.9
DOW,Materials,30.33,1.47,0.65,0.74,5.13,-26.8,50.6
